Id,hex_id,bra,,,,,,,,,
58605,58605,1,,,,,,,,,
58606,58606,1,,,,,,,,,
58607,58607,1,,,,,,,,,
58905,58905,1,,,,,,,,,
58906,58906,1,,,,,,,,,
58907,58907,1,,,,,,,,,
58908,58908,1,,,,,,,,,
58909,58909,1,,,,,,,,,
58927,58927,1,,,,,,,,,
58943,58943,1,,,,,,,,,
58944,58944,1,,,,,,,,,
58945,58945,1,,,,,,,,,
58946,58946,1,,,,,,,,,
58947,58947,1,,,,,,,,,
58948,58948,1,,,,,,,,,
58965,58965,1,,,,,,,,,
58966,58966,1,,,,,,,,,
58967,58967,1,,,,,,,,,
58968,58968,1,,,,,,,,,
59267,59267,1,,,,,,,,,
59268,59268,1,,,,,,,,,
59269,59269,1,,,,,,,,,
59270,59270,1,,,,,,,,,
59271,59271,1,,,,,,,,,
59272,59272,1,,,,,,,,,
59284,59284,1,,,,,,,,,
59286,59286,1,,,,,,,,,
59287,59287,1,,,,,,,,,
59302,59302,1,,,,,,,,,
59303,59303,1,,,,,,,,,
59304,59304,1,,,,,,,,,
59305,59305,1,,,,,,,,,
59306,59306,1,,,,,,,,,
59307,59307,1,,,,,,,,,
59308,59308,1,,,,,,,,,
59326,59326,1,,,,,,,,,
59328,59328,1,,,,,,,,,
59329,59329,1,,,,,,,,,
59629,59629,1,,,,,,,,,
59630,59630,1,,,,,,,,,
59631,59631,1,,,,,,,,,
59632,59632,1,,,,,,,,,
59633,59633,1,,,,,,,,,
59634,59634,1,,,,,,,,,
59635,59635,1,,,,,,,,,
59637,59637,1,,,,,,,,,
59639,59639,1,,,,,,,,,
59641,59641,1,,,,,,,,,
59643,59643,1,,,,,,,,,
59644,59644,1,,,,,,,,,
59647,59647,1,,,,,,,,,
59650,59650,1,,,,,,,,,
59651,59651,1,,,,,,,,,
59657,59657,1,,,,,,,,,
59659,59659,1,,,,,,,,,
59661,59661,1,,,,,,,,,
59662,59662,1,,,,,,,,,
59663,59663,1,,,,,,,,,
59664,59664,1,,,,,,,,,
59665,59665,1,,,,,,,,,
59666,59666,1,,,,,,,,,
59667,59667,1,,,,,,,,,
59668,59668,1,,,,,,,,,
59687,59687,1,,,,,,,,,
59688,59688,1,,,,,,,,,
59690,59690,1,,,,,,,,,
59991,59991,1,,,,,,,,,
59992,59992,1,,,,,,,,,
59993,59993,1,,,,,,,,,
59994,59994,1,,,,,,,,,
59995,59995,1,,,,,,,,,
59996,59996,1,,,,,,,,,
59997,59997,1,,,,,,,,,
59998,59998,1,,,,,,,,,
59999,59999,1,,,,,,,,,
60000,60000,1,,,,,,,,,
60001,60001,1,,,,,,,,,
60002,60002,1,,,,,,,,,
60004,60004,1,,,,,,,,,
60005,60005,1,,,,,,,,,
60006,60006,1,,,,,,,,,
60007,60007,1,,,,,,,,,
60008,60008,1,,,,,,,,,
60009,60009,1,,,,,,,,,
60010,60010,1,,,,,,,,,
60012,60012,1,,,,,,,,,
60016,60016,1,,,,,,,,,
60019,60019,1,,,,,,,,,
60020,60020,1,,,,,,,,,
60021,60021,1,,,,,,,,,
60022,60022,1,,,,,,,,,
60023,60023,1,,,,,,,,,
60024,60024,1,,,,,,,,,
60025,60025,1,,,,,,,,,
60026,60026,1,,,,,,,,,
60027,60027,1,,,,,,,,,
60048,60048,1,,,,,,,,,
60049,60049,1,,,,,,,,,
60050,60050,1,,,,,,,,,
60051,60051,1,,,,,,,,,
60052,60052,1,,,,,,,,,
60354,60354,1,,,,,,,,,
60355,60355,1,,,,,,,,,
60356,60356,1,,,,,,,,,
60357,60357,1,,,,,,,,,
60358,60358,1,,,,,,,,,
60359,60359,1,,,,,,,,,
60360,60360,1,,,,,,,,,
60361,60361,1,,,,,,,,,
60362,60362,1,,,,,,,,,
60363,60363,1,,,,,,,,,
60364,60364,1,,,,,,,,,
60365,60365,1,,,,,,,,,
60366,60366,1,,,,,,,,,
60367,60367,1,,,,,,,,,
60368,60368,1,,,,,,,,,
60373,60373,1,,,,,,,,,
60374,60374,1,,,,,,,,,
60380,60380,1,,,,,,,,,
60381,60381,1,,,,,,,,,
60382,60382,1,,,,,,,,,
60383,60383,1,,,,,,,,,
60384,60384,1,,,,,,,,,
60385,60385,1,,,,,,,,,
60386,60386,1,,,,,,,,,
60410,60410,1,,,,,,,,,
60411,60411,1,,,,,,,,,
60412,60412,1,,,,,,,,,
60413,60413,1,,,,,,,,,
60717,60717,1,,,,,,,,,
60718,60718,1,,,,,,,,,
60719,60719,1,,,,,,,,,
60720,60720,1,,,,,,,,,
60721,60721,1,,,,,,,,,
60722,60722,1,,,,,,,,,
60723,60723,1,,,,,,,,,
60724,60724,1,,,,,,,,,
60725,60725,1,,,,,,,,,
60727,60727,1,,,,,,,,,
60735,60735,1,,,,,,,,,
60740,60740,1,,,,,,,,,
60741,60741,1,,,,,,,,,
60742,60742,1,,,,,,,,,
60743,60743,1,,,,,,,,,
60745,60745,1,,,,,,,,,
60771,60771,1,,,,,,,,,
60773,60773,1,,,,,,,,,
60774,60774,1,,,,,,,,,
60775,60775,1,,,,,,,,,
61132,61132,1,,,,,,,,,
61133,61133,1,,,,,,,,,
61134,61134,1,,,,,,,,,
61135,61135,1,,,,,,,,,
61136,61136,1,,,,,,,,,
